Number,Name,Nat,Pos,Height,Height_cm,Weight,Date of Birth,Age,Birth Place,Current Club,Group
2,Lucas Neill,AUS,D,1.85,185,78,09/03/1978,32,Sydney,Galatasaray,D
3,Craig Moore,AUS,D,1.85,185,76,12/12/1975,34,Sydney,Un-attached,D
4,Tim Cahill,AUS,M,1.78,178,69,06/12/1979,30,Sydney,Everton,D
5,Jason _ulina,AUS,M,1.75,175,76,05/08/1980,29,Sydney,Gold Coast U,D
6,Michael Beauchamp,AUS,D,1.91,191,85,08/03/1981,29,Sydney,Al-Jazira,D
7,Brett Emerton,AUS,M,1.85,185,85,22/02/1979,31,Bankstown,Blackburn R,D
8,Luke Wilkshire,AUS,D,1.76,176,75,02/10/1981,28,Wollongong,Dynamo Moscow,D
9,Joshua Kennedy,AUS,F,1.94,194,84,20/08/1982,27,Wodonga,Nagoya Grampus,D
10,Harry Kewell,AUS,F,1.8,180,70,22/09/1978,31,Sydney,Galatasaray,D
11,Scott Chipperfield,AUS,M,1.8,180,80,30/12/1975,34,Wollongong,Basel,D
12,Adam Federici,AUS,G,1.88,188,90,31/01/1985,25,Nowra,Reading,D
13,Vince Grella,AUS,M,1.82,182,79,05/10/1979,30,Melbourne,Blackburn R,D
14,Brett Holman,AUS,M,1.77,177,69,27/03/1984,26,Bankstown,AZ Alkmaar,D
15,Mile Jedinak,AUS,M,1.89,189,88,03/08/1984,25,Sydney,Gençlerbirli_i,D
16,Carl Valeri,AUS,M,1.8,180,77,14/08/1984,25,Canberra,Sassuolo,D
17,Nikita Rukavytsya,AUS,F,1.83,183,74,22/06/1987,22,Mykolaiv,FC Twente,D
18,Eugene Galekovi_,AUS,G,1.86,186,91,12/06/1981,28,Melbourne,Adelaide U,D
19,Richard Garcia,AUS,M,1.8,180,72,04/09/1981,28,Perth [AUS],Hull C,D
20,Mark Milligan,AUS,D,1.8,180,78,04/08/1985,24,Auburn,JEF United,D
21,David Carney,AUS,D,1.8,180,70,30/11/1983,26,Sydney,FC Twente,D
22,Dario Vido_i_,AUS,M,1.85,185,75,08/04/1987,23,Osijek,NŸrnberg,D
23,Mark Bresciano,AUS,M,1.82,182,73,11/02/1980,30,Melbourne,Palermo,D
1,Manuel Neuer,GER,G,1.92,192,90,27/03/1986,24,Gelsenkirchen,Schalke,D
2,Marcell Jansen,GER,D,1.91,191,84,04/11/1985,24,M_nchengladbach,Hamburg,D
3,Arne Friedrich,GER,D,1.85,185,76,29/05/1979,31,Bad Oeynhausen,Hertha Berlin,D
4,Dennis Aogo,GER,D,1.83,183,85,14/01/1987,23,Karlsruhe,Hamburg,D
5,Serdar Ta_çõ,GER,D,1.86,186,80,24/04/1987,23,Esslingen,Stuttgart,D
6,Sami Khedira,GER,M,1.89,189,83,04/04/1987,23,Stuttgart,Stuttgart,D
7,Bastian Schweinsteiger,GER,M,1.83,183,79,01/08/1984,25,Kolbermoor,Bayern Munich,D
8,Mesut …zil,GER,M,1.82,182,73,15/10/1988,21,Gelsenkirchen,Werder Bremen,D
9,Stephan Kie§ling,GER,F,1.9,190,80,25/01/1984,26,Lichtenfels,Bayer Leverkusen,D
10,Lukas Podolski,GER,F,1.82,182,83,04/06/1985,25,Gliwice,K_ln,D
11,Miroslav Klose,GER,F,1.82,182,81,09/06/1978,32,Opole,Bayern Munich,D
12,Tim Wiese,GER,G,1.93,193,91,17/12/1981,28,Bergisch-Gladbach,Werder Bremen,D
13,Thomas MŸller,GER,M,1.86,186,74,13/09/1989,20,Weilheim in Oberbayern,Bayern Munich,D
14,Holger Badstuber,GER,D,1.89,189,78,13/03/1989,21,Memmingen,Bayern Munich,D
15,Piotr Trochowski,GER,M,1.69,169,70,22/03/1984,26,Dirschau,Hamburg,D
16,Philipp Lahm,GER,D,1.7,170,62,11/11/1983,26,Munich,Bayern Munich,D
17,Per Mertesacker,GER,D,1.98,198,90,29/09/1984,25,Hannover,Werder Bremen,D
18,Toni Kroos,GER,M,1.82,182,71,04/01/1990,20,Greifswald,Bayern Munich,D
19,Cacau,GER,F,1.79,179,74,27/03/1981,29,Santo Andr_,Stuttgart,D
20,Jerome Boateng,GER,D,1.92,192,90,03/09/1988,21,Berlin,Hamburg,D
21,Marko Marin,GER,M,1.7,170,63,13/03/1989,21,Gradi_ka,Werder Bremen,D
22,Hans-J_rg Butt,GER,G,1.91,191,91,28/05/1974,36,Oldenburg,Bayern Munich,D
23,Mario G—mez,GER,F,1.89,189,84,10/07/1985,24,Riedlingen,Bayern Munich,D
1,Daniel Agyei,GHA,G,1.86,186,77,10/11/1989,20,Dansoman,Liberty Professionals,D
2,Hans Sarpei,GHA,D,1.78,178,71,28/06/1976,33,Tema,Bayer Leverkusen,D
3,Asamoah Gyan,GHA,F,1.8,180,80,22/11/1985,24,Accra,Rennes,D
4,John Paintsil,GHA,D,1.78,178,68,15/06/1981,28,Berekum,Fulham,D
5,John Mensah,GHA,D,1.8,180,81,29/11/1982,27,Obuasi,Lyon,D
6,Anthony Annan,GHA,M,1.75,175,68,21/07/1986,23,Accra,Rosenborg,D
7,Samuel Inkoom,GHA,D,1.79,179,75,22/08/1989,20,Sekondi-Takoradi,Basel,D
8,Jonathan Mensah,GHA,D,1.88,188,75,13/07/1990,19,Accra,Udinese,D
9,Derek Boateng,GHA,M,1.85,185,78,02/05/1983,27,Accra,Getafe,D
10,Stephen Appiah,GHA,M,1.78,178,77,24/12/1980,29,Achimota,Bologna,D
11,Sulley Muntari,GHA,M,1.79,179,76,27/07/1984,25,Konongo,Internazionale,D
12,Prince Tagoe,GHA,F,1.88,188,83,09/11/1986,23,Accra,1899 Hoffenheim,D
13,Andr_ Ayew,GHA,F,1.76,176,72,17/12/1989,20,Seclin,Marseille,D
14,Matthew Amoah,GHA,F,1.75,175,66,24/10/1980,29,Tema,NAC Breda,D
15,Isaac Vorsah,GHA,D,1.92,192,85,21/06/1988,21,Accra,1899 Hoffenheim,D
16,Stephen Ahorlu,GHA,G,1.86,186,78,10/05/1989,21,Kpandu,Heart of Lions,D
17,Rahim Ayew,GHA,M,1.78,178,73,27/09/1985,24,Tamale,Zamalek,D
18,Dominic Adiyiah,GHA,F,1.72,172,71,10/07/1989,20,Accra,Milan,D
19,Lee Addy,GHA,D,1.78,178,72,07/07/1990,19,Accra,Bechem Chelsea,D
20,Quincy Owusu-Abeyie,GHA,F,1.8,180,74,15/04/1986,24,Amsterdam,Al-Sadd,D
21,Kwadwo Asamoah,GHA,M,1.78,178,78,09/12/1988,21,Accra,Udinese,D
22,Richard Kingson,GHA,G,1.83,183,83,13/06/1978,31,Accra,Wigan Ath,D
23,Kevin-Prince Boateng,GHA,M,1.85,185,86,06/03/1987,23,Berlin,Portsmouth,D
1,Vladimir Stojkovi_,SRB,G,1.95,195,92,28/07/1983,26,Loznica,Sporting CP,D
2,Antonio Rukavina,SRB,D,1.77,177,72,26/01/1984,26,Belgrade,1860 Munich,D
3,Aleksandar Kolarov,SRB,D,1.87,187,83,10/11/1985,24,Belgrade,Lazio,D
4,Gojko Ka_ar,SRB,M,1.86,186,79,26/01/1987,23,Novi Sad,Hertha Berlin,D
5,Nemanja Vidi_,SRB,D,1.88,188,82,21/10/1981,28,U_ice,Manchester U,D
6,Branislav Ivanovi_,SRB,D,1.88,188,86,22/02/1984,26,Sremska Mitrovica,Chelsea,D
7,Zoran To_i_,SRB,M,1.71,171,69,28/04/1987,23,Zrenjanin,Manchester U,D
8,Danko Lazovi_,SRB,F,1.85,185,79,17/05/1983,27,Kragujevac,Zenit St Petersburg,D
9,Marko Panteli_,SRB,F,1.83,183,80,15/09/1978,31,Belgrade,Ajax,D
10,Dejan Stankovi_,SRB,M,1.81,181,75,11/09/1978,31,Belgrade,Internazionale,D
11,Nenad Milija_,SRB,M,1.88,188,81,30/04/1983,27,Belgrade,Wolverhampton W,D
12,Bojan Isailovi_,SRB,G,1.87,187,86,25/03/1980,30,Belgrade,Zag__bie Lubin,D
13,Aleksandar Lukovi_,SRB,D,1.84,184,73,23/10/1982,27,Kraljevo,Udinese,D
14,Milan Jovanovi_,SRB,M,1.83,183,73,18/04/1981,29,Bajina Ba_ta,Standard Liège,D
15,Nikola _igi_,SRB,F,2.02,202,90,25/09/1980,29,Ba_ka Topola,Valencia,D
16,Ivan Obradovi_,SRB,D,1.81,181,74,25/07/1988,21,Belgrade,Zaragoza,D
17,Milo_ Krasi_,SRB,M,1.86,186,78,01/11/1984,25,Belgrade,CSKA Moscow,D
18,Milo_ Ninkovi_,SRB,M,1.8,180,76,25/12/1984,25,Belgrade,Dynamo Kiev,D
19,Radosav Petrovi_,SRB,M,1.93,193,83,08/03/1989,21,Ub,Partizan Belgrade,D
20,Neven Suboti_,SRB,D,1.93,193,88,10/12/1988,21,Banja Luka,Borussia Dortmund,D
21,Dragan Mrdja,SRB,F,1.87,187,77,23/01/1984,26,Belgrade,Vojvodina,D
22,Zdravko Kuzmanovi_,SRB,M,1.86,186,72,22/09/1987,22,Berne,Stuttgart,D
23,Andjelko Djuri_i_,SRB,G,1.93,193,87,21/11/1980,29,Zemun,Uni‹o de Leiria,D
1,Idriss Carlos Kameni,CMR,G,1.86,186,86,18/02/1984,26,Douala,Espanyol,E
2,Beno”t Assou-Ekotto,CMR,D,1.8,180,69,24/03/1984,26,Arras,Tottenham H,E
3,Nicolas Nkoulou,CMR,D,1.8,180,77,27/03/1990,20,Yaound_,Monaco,E
4,Rigobert Song,CMR,D,1.83,183,76,01/07/1976,33,Nkanglicock,Trabzonspor,E
5,S_bastien Bassong,CMR,D,1.87,187,73,09/07/1986,23,Paris,Tottenham H,E
6,Alexandre Song,CMR,M,1.84,184,76,09/09/1987,22,Douala,Arsenal,E
7,Landry N'Guemo,CMR,M,1.73,173,70,28/11/1985,24,Yaound_,Nancy,E
8,Geremi,CMR,M,1.8,180,78,20/12/1978,31,Bafoussam,AnkaragŸcŸ,E
9,Samuel Eto'o,CMR,F,1.8,180,75,10/03/1981,29,Nkon,Internazionale,E
10,Achille Emana,CMR,M,1.8,180,77,22/07/1982,27,Yaound_,Betis,E
11,Jean II Makoun,CMR,M,1.73,173,69,29/05/1983,27,Yaound_,Lyon,E
12,Ga‘tan Bong,CMR,D,1.83,183,74,25/04/1988,22,Sakbayeme,Valenciennes,E
13,Maxim Choupo-Moting,CMR,F,1.89,189,82,23/03/1989,21,Hamburg,Hamburg,E
14,Aur_lien Chedjou,CMR,M,1.84,184,84,20/06/1985,24,Douala,Lille,E
15,Pierre Web—,CMR,F,1.8,180,78,20/01/1982,28,Bafoussan,Mallorca,E
16,Hamidou Souleymanou,CMR,G,1.87,187,77,22/11/1973,36,Mokolo,Kayserispor,E
17,Mohammadou Idrissou,CMR,F,1.9,190,83,08/03/1980,30,Yaound_,Freiburg,E
18,Eyong Enoh,CMR,M,1.8,180,76,23/03/1986,24,Kumba,Ajax,E
19,St_phane Mbia,CMR,M,1.89,189,82,20/05/1986,24,Yaound_,Marseille,E
20,Georges Mandjeck,CMR,M,1.83,183,72,09/12/1988,21,Douala,Stuttgart,E
21,Joel Matip,CMR,D,1.92,192,83,08/08/1991,18,Bochum,Schalke,E
22,Guy Rolland Ndy Assemb_,CMR,G,1.84,184,79,28/02/1986,24,Yaound_,Nantes,E
23,Vincent Aboubakar,CMR,F,1.82,182,78,22/01/1992,18,Garoua,Cotonsport Garoua,E
1,Thomas S¿rensen,DEN,G,1.96,196,89,12/06/1976,33,Fredericia,Stoke C,E
2,Christian Poulsen,DEN,M,1.82,182,76,28/02/1980,30,Asnaes,Juventus,E
3,Simon Kj_r,DEN,D,1.89,189,82,26/03/1989,21,Horsens,Palermo,E
4,Daniel Agger,DEN,D,1.87,187,75,12/12/1984,25,Hvidovre,Liverpool,E
5,William Kvist,DEN,M,1.84,184,80,24/02/1985,25,Odder,FC K¿benhavn,E
6,Lars Jacobsen,DEN,D,1.81,181,75,20/09/1979,30,Odense,Blackburn R,E
7,Daniel Jensen,DEN,M,1.8,180,73,25/06/1979,30,Copenhagen,Werder Bremen,E
8,Jesper Gr¿nkj_r,DEN,M,1.87,187,82,12/08/1977,32,Nuuk,FC K¿benhavn,E
9,Jon Dahl Tomasson,DEN,F,1.8,180,74,29/08/1976,33,Roskilde,Feyenoord,E
10,Martin J¿rgensen,DEN,M,1.8,180,76,06/10/1975,34,Orstad,Aarhus,E
11,Nicklas Bendtner,DEN,F,1.92,192,83,16/01/1988,22,Copenhagen,Arsenal,E
12,Thomas Kahlenberg,DEN,M,1.83,183,72,20/03/1983,27,Hvidovre,Wolfsburg,E
13,Per Kr¿ldrup,DEN,D,1.87,187,82,31/07/1979,30,Farso,Fiorentina,E
14,Jakob Poulsen,DEN,M,1.82,182,72,07/07/1983,26,Varde,Aarhus,E
15,Simon Poulsen,DEN,D,1.84,184,76,07/10/1984,25,S¿nderborg,AZ Alkmaar,E
16,Stephan Andersen,DEN,G,1.9,190,80,26/11/1981,28,Copenhagen,Br¿ndby,E
17,Mikkel Beckmann,DEN,M,1.83,183,76,24/10/1983,26,Lundtoft,Randers,E
18,S¿ren Larsen,DEN,F,1.94,194,90,06/09/1981,28,K¿ge,Toulouse,E
19,Dennis Rommedahl,DEN,M,1.77,177,68,22/07/1978,31,Copenhagen,Ajax,E
20,Thomas Enevoldsen,DEN,M,1.81,181,74,27/06/1987,22,Aalborg,FC Groningen,E
21,Christian Eriksen,DEN,M,1.75,175,65,14/02/1992,18,Middelfart,Ajax,E
22,Jesper Christiansen,DEN,G,1.93,193,89,24/04/1978,32,Roskilde,FC K¿benhavn,E
23,Patrick Mtiliga,DEN,D,1.72,172,73,28/01/1981,29,Copenhagen,M‡laga,E
1,Maarten Stekelenburg,NED,G,1.97,197,92,22/09/1982,27,Haarlem,Ajax,E
2,Gregory van der Wiel,NED,D,1.81,181,68,03/02/1988,22,Amsterdam,Ajax,E
3,John Heitinga,NED,D,1.8,180,72,15/11/1983,26,Alphen aan den Rijn,Everton,E
4,Joris Mathijsen,NED,D,1.83,183,82,05/04/1980,30,Goirle,Hamburg,E
5,Giovanni van Bronckhorst,NED,D,1.78,178,76,05/02/1975,35,Rotterdam,Feyenoord,E
6,Mark van Bommel,NED,M,1.87,187,85,22/04/1977,33,Maasbracht,Bayern Munich,E
7,Dirk Kuyt,NED,F,1.84,184,77,22/07/1980,29,Katwijk,Liverpool,E
8,Nigel de Jong,NED,M,1.74,174,72,30/11/1984,25,Amsterdam,Manchester C,E
9,Robin van Persie,NED,F,1.83,183,71,06/08/1983,26,Rotterdam,Arsenal,E
10,Wesley Sneijder,NED,M,1.7,170,67,09/06/1984,26,Utrecht,Internazionale,E
11,Arjen Robben,NED,F,1.81,181,75,23/01/1984,26,Bedum,Bayern Munich,E
12,Khalid Boulahrouz,NED,D,1.83,183,74,28/12/1981,28,Maassluis,Stuttgart,E
13,Andr_ Ooijer,NED,D,1.85,185,80,11/07/1974,35,Amsterdam,PSV Eindhoven,E
14,Demy de Zeeuw,NED,M,1.74,174,71,26/05/1983,27,Apeldoorn,Ajax,E
15,Edson Braafheid,NED,D,1.76,176,71,08/04/1983,27,Paramaribo,Bayern Munich,E
16,Michel Vorm,NED,G,1.83,183,84,20/10/1983,26,Nieuwegein,FC Utrecht,E
17,Eljero Elia,NED,F,1.76,176,70,13/02/1987,23,Voorburg,Hamburg,E
18,Stijn Schaars,NED,M,1.77,177,77,11/01/1984,26,Gendt,AZ Alkmaar,E
19,Ryan Babel,NED,F,1.85,185,78,19/12/1986,23,Amsterdam,Liverpool,E
20,Ibrahim Afellay,NED,M,1.81,181,68,02/04/1986,24,Utrecht,PSV Eindhoven,E
21,Klaas Jan Huntelaar,NED,F,1.86,186,80,12/08/1983,26,Drempt,Milan,E
22,Sander Boschker,NED,G,1.86,186,87,20/10/1970,39,Lichtenvoorde,FC Twente,E
23,Rafael van der Vaart,NED,M,1.75,175,74,11/02/1983,27,Heemskerk,Real Madrid,E
1,Seigo Narazaki,JPN,G,1.87,187,80,15/04/1976,34,Nara,Nagoya Grampus,E
2,Yuki Abe,JPN,M,1.77,177,77,06/09/1981,28,Chiba,Urawa Red Diamonds,E
3,Yuichi Komano,JPN,D,1.72,172,76,25/07/1981,28,Wakayama,Jœbilo Iwata,E
4,Marcus Tulio Tanaka,JPN,D,1.85,185,82,24/04/1981,29,S‹o Paulo,Nagoya Grampus,E
5,Yuto Nagatomo,JPN,D,1.7,170,65,12/09/1986,23,Ehime,FC Tokyo,E
6,Atsuto Uchida,JPN,D,1.76,176,62,27/03/1988,22,Shizuoka,Kashima Antlers,E
7,Yasuhito Endo,JPN,M,1.78,178,75,28/01/1980,30,Kagoshima,Gamba Osaka,E
8,Daisuke Matsui,JPN,M,1.75,175,67,11/05/1981,29,Kyoto,Grenoble,E
9,Shinji Okazaki,JPN,F,1.73,173,70,16/04/1986,24,Hyogo,Shimizu S-Pulse,E
10,Shunsuke Nakamura,JPN,M,1.78,178,69,24/06/1978,31,Yokohama,Yokohama F Marinos,E
11,Keiji Tamada,JPN,F,1.73,173,67,11/04/1980,30,Chiba,Nagoya Grampus,E
12,Kisho Yano,JPN,F,1.85,185,74,05/04/1984,26,Shizuoka,Albirex Niigata,E
13,Daiki Iwamasa,JPN,D,1.87,187,85,30/01/1982,28,Yamaguchi,Kashima Antlers,E
14,Kengo Nakamura,JPN,M,1.75,175,67,31/10/1980,29,Tokyo,Kawasaki Frontale,E
15,Yasuyuki Konno,JPN,D,1.78,178,73,25/01/1983,27,Miyagi,FC Tokyo,E
16,Yoshito _kubo,JPN,F,1.7,170,73,09/06/1982,28,Fukuoka,Vissel Kobe,E
17,Makoto Hasebe,JPN,M,1.77,177,65,18/01/1984,26,Shizuoka,Wolfsburg,E
18,Keisuke Honda,JPN,M,1.82,182,75,13/06/1986,23,Osaka,CSKA Moscow,E
19,Takayuki Morimoto,JPN,F,1.8,180,70,07/05/1988,22,Tokyo,Catania,E
20,Junichi Inamoto,JPN,M,1.81,181,75,18/09/1979,30,Y_sui,Kawasaki Frontale,E
21,Eiji Kawashima,JPN,G,1.85,185,80,20/03/1983,27,Saitama,Kawasaki Frontale,E
22,Yuji Nakazawa,JPN,D,1.87,187,78,25/02/1978,32,Saitama,Yokohama F Marinos,E
23,Yoshikatsu Kawaguchi,JPN,G,1.8,180,77,15/08/1975,34,Shizuoka,Jœbilo Iwata,E
1,Gianluigi Buffon,ITA,G,1.91,191,83,28/01/1978,32,Carrara,Juventus,F
2,Christian Maggio,ITA,D,1.84,184,79,11/02/1982,28,Montecchio Maggiore,Napoli,F
3,Domenico Criscito,ITA,D,1.83,183,70,30/12/1986,23,Cercola,Genoa,F
4,Giorgio Chiellini,ITA,D,1.86,186,76,14/08/1984,25,Pisa,Juventus,F
5,Fabio Cannavaro,ITA,D,1.76,176,75,13/09/1973,36,Naples,Juventus,F
6,Daniele De Rossi,ITA,M,1.84,184,79,24/07/1983,26,Rome,Roma,F
7,Simone Pepe,ITA,M,1.78,178,73,30/08/1983,26,Albano Laziale,Udinese,F
8,Gennaro Gattuso,ITA,M,1.77,177,77,09/01/1978,32,Corigliano,Milan,F
9,Vincenzo Iaquinta,ITA,F,1.91,191,84,21/11/1979,30,Cutro,Juventus,F
10,Antonio Di Natale,ITA,F,1.7,170,65,13/10/1977,32,Naples,Udinese,F
11,Alberto Gilardino,ITA,F,1.84,184,79,05/07/1982,27,Biella,Fiorentina,F
12,Federico Marchetti,ITA,G,1.86,186,76,07/02/1983,27,Bassano del Grappa,Cagliari,F
13,Salvatore Bocchetti,ITA,D,1.78,178,70,30/11/1986,23,Naples,Genoa,F
14,Morgan De Sanctis,ITA,G,1.9,190,86,26/03/1977,33,Guardiagrele,Napoli,F
15,Claudio Marchisio,ITA,M,1.79,179,66,19/01/1986,24,Cercola,Juventus,F
16,Mauro Camoranesi,ITA,M,1.74,174,70,04/10/1976,33,Tandil,Juventus,F
17,Angelo Palombo,ITA,M,1.77,177,77,25/09/1981,28,Ferentino,Sampdoria,F
18,Fabio Quagliarella,ITA,F,1.82,182,73,31/01/1983,27,Castellamare di Stabia,Napoli,F
19,Gianluca Zambrotta,ITA,D,1.81,181,76,19/02/1977,33,Como,Milan,F
20,Giampaolo Pazzini,ITA,F,1.8,180,74,02/08/1984,25,Monsummano,Sampdoria,F
21,Andrea Pirlo,ITA,M,1.77,177,68,19/05/1979,31,Brescia,Milan,F
22,Riccardo Montolivo,ITA,M,1.82,182,79,18/01/1985,25,Milan,Fiorentina,F
23,Leonardo Bonucci,ITA,D,1.9,190,82,01/05/1987,23,Viterbo,Bari,F
1,Mark Paston,NZL,G,1.94,194,90,13/12/1976,33,Hastings [NZL],Wellington Phoenix,F
2,Ben Sigmund,NZL,D,1.8,180,84,03/02/1981,29,Blenheim,Wellington Phoenix,F
3,Tony Lochhead,NZL,D,1.83,183,75,12/01/1982,28,Tauranga,Wellington Phoenix,F
4,Winston Reid,NZL,D,1.9,190,87,03/07/1988,21,Auckland,FC Midtjylland,F
5,Ivan Vicelich,NZL,D,1.9,190,84,03/09/1976,33,Auckland,Auckland C,F
6,Ryan Nelsen,NZL,D,1.83,183,90,18/10/1977,32,Christchurch,Blackburn R,F
7,Simon Elliott,NZL,M,1.8,180,77,10/06/1974,36,Wellington,Un-attached,F
8,Tim Brown,NZL,M,1.85,185,77,06/03/1981,29,Ascot,Wellington Phoenix,F
9,Shane Smeltz,NZL,F,1.85,185,80,29/09/1981,28,G_ppingen,Gold Coast U,F
10,Chris Killen,NZL,F,1.83,183,71,08/10/1981,28,Wellington,Middlesbrough,F
11,Leo Bertos,NZL,M,1.77,177,79,20/12/1981,28,Wellington,Wellington Phoenix,F
12,Glen Moss,NZL,G,1.87,187,90,19/01/1983,27,Hastings [NZL],Melbourne Victory,F
13,Andrew Barron,NZL,M,1.77,177,70,24/12/1980,29,Invercargill,Team Wellington,F
14,Rory Fallon,NZL,F,1.88,188,74,20/03/1982,28,Gisbourne,Plymouth Arg,F
15,Michael McGlinchey,NZL,M,1.75,175,68,07/01/1987,23,Wellington,Central Coast Mariners,F
16,Aaron Clapham,NZL,M,1.72,172,63,15/01/1987,23,Christchurch,Canterbury U,F
17,David Mulligan,NZL,D,1.73,173,70,24/03/1982,28,Fazakerley,Un-attached,F
18,Andrew Boyens,NZL,D,1.93,193,90,18/09/1983,26,Dunedin,New York Red Bulls,F
19,Tommy Smith,NZL,D,1.86,186,77,31/03/1990,20,Macclesfield,Ipswich T,F
20,Chris Wood,NZL,F,1.91,191,91,07/12/1991,18,Auckland,WBA,F
21,Jeremy Christie,NZL,M,1.8,180,75,22/05/1983,27,Whangerei,FC Tampa Bay,F
22,Jeremy Brockie,NZL,F,1.8,180,78,07/10/1987,22,Christchurch,Newcastle U Jets,F
23,James Bannatyne,NZL,G,1.95,195,95,30/06/1975,34,Lower Hutt,Team Wellington,F
1,Justo Villar,PAR,G,1.8,180,80,30/06/1977,32,Cerrito,Valladolid,F
2,Dar’o Ver—n,PAR,D,1.81,181,80,16/07/1979,30,San Ignacio,UNAM,F
3,Claudio Morel Rodr’guez,PAR,D,1.75,175,76,02/02/1978,32,Asunci—n,Boca Juniors,F
4,Denis Caniza,PAR,D,1.74,174,73,29/08/1974,35,Bella Vista,Le—n,F
5,Jœlio C_sar C‡ceres,PAR,D,1.81,181,80,05/10/1979,30,San Jos_ de los Aroyos,Atl_tico Mineiro,F
6,Carlos Bonet,PAR,D,1.76,176,77,02/10/1977,32,Asunci—n,Olimpia [PAR],F
7,îscar Cardozo,PAR,F,1.93,193,87,20/05/1983,27,Campo 9,Benfica,F
8,Edgar Barreto,PAR,M,1.82,182,77,15/07/1984,25,Asunci—n,Atalanta,F
9,Roque Santa Cruz,PAR,F,1.87,187,80,16/08/1981,28,Asunci—n,Manchester C,F
10,Edgar Ben’tez,PAR,F,1.76,176,71,08/11/1987,22,Repatriaci—n,Pachuca,F
11,Jonathan Santana,PAR,M,1.81,181,80,19/10/1981,28,Capital Federal,Wolfsburg,F
12,Diego Barreto,PAR,G,1.82,182,76,16/07/1981,28,Lambar_,Cerro Porte–o,F
13,Enrique Vera,PAR,M,1.79,179,67,10/03/1979,31,Asunci—n,Am_rica,F
14,Paulo da Silva,PAR,D,1.81,181,76,01/02/1980,30,Asunci—n,Sunderland,F
15,V’ctor C‡ceres,PAR,M,1.82,182,77,25/03/1985,25,Asunci—n,Libertad,F
16,Cristian Riveros,PAR,M,1.79,179,76,16/10/1982,27,J.A. Saldivar,Cruz Azul,F
17,Aureliano Torres,PAR,D,1.8,180,70,16/06/1982,27,Luque,San Lorenzo,F
18,Nelson Haedo Valdez,PAR,F,1.78,178,71,28/11/1983,26,Caaguazœ,Borussia Dortmund,F
19,Lucas Barrios,PAR,F,1.87,187,87,13/11/1984,25,San Fernando,Borussia Dortmund,F
20,N_stor Ortigoza,PAR,M,1.8,180,79,07/10/1984,25,San Antonio de Padua,Argentinos Juniors,F
21,Antol’n Alcaraz,PAR,D,1.84,184,80,30/07/1982,27,Roque Gonzalez,Club Brugge,F
22,Aldo Bobadilla,PAR,G,1.94,194,87,20/04/1976,34,Pedro Juan Caballero,Independiente Medell’n,F
23,Roberto Gamarra,PAR,F,1.74,174,75,11/05/1981,29,Caazap‡,Libertad,F
1,J‡n Mucha,SVK,G,1.89,189,87,05/12/1982,27,Bel‡ nad Cirochou,Legia Warszawa,F
2,Peter Pekarik,SVK,D,1.76,176,69,30/10/1986,23,_ilina,Wolfsburg,F
3,Martin _krte_,SVK,D,1.91,191,81,15/12/1984,25,Handlov‡,Liverpool,F
4,Marek _ech,SVK,D,1.85,185,75,26/01/1983,27,Trebi_ov,WBA,F
5,Radoslav Zabavnik,SVK,D,1.81,181,77,16/09/1980,29,Ko_ice,Mainz,F
6,Zdeno _trba,SVK,M,1.87,187,81,09/06/1976,34,Kr‡sno nad Kysucou,Skoda Xanthi,F
7,Vladimir Weiss,SVK,M,1.75,175,68,30/11/1989,20,Bratislava,Manchester C,F
8,J‡n Koz‡k,SVK,M,1.92,192,87,22/04/1980,30,Ko_ice,FC Timi_oara,F
9,Stanislav _est‡k,SVK,F,1.79,179,72,16/12/1982,27,Pre_ov,Bochum,F
10,Marek Sapara,SVK,M,1.76,176,67,31/07/1982,27,Ko_ice,AnkaragŸcŸ,F
11,Robert Vittek,SVK,F,1.88,188,84,01/04/1982,28,Bratislava,Lille,F
12,Du_an Perni_,SVK,G,1.91,191,91,28/11/1984,25,Nitra,Dundee U,F
13,Filip Holo_ko,SVK,F,1.85,185,80,17/01/1984,26,Pie__any,Be_ikta_,F
14,Martin Jakubko,SVK,F,1.94,194,95,26/02/1980,30,Pre_ov,Saturn,F
15,Miroslav Stoch,SVK,M,1.68,168,64,19/10/1989,20,Nitra,Chelsea,F
16,J‡n _urica,SVK,D,1.87,187,85,10/11/1981,28,Bratislava,Lokomotiv Moscow,F
17,Marek Ham_’k,SVK,M,1.83,183,73,27/07/1987,22,Bansk‡ Bystrica,Napoli,F
18,Erik Jendri_ek,SVK,F,1.76,176,74,26/10/1986,23,Trsten‡,Kaiserslautern,F
19,Juraj Kucka,SVK,M,1.86,186,84,26/02/1987,23,Bojnice,Sparta Prague,F
20,Kamil Kopœnek,SVK,M,1.79,179,71,18/05/1984,26,Trnava,Spartak Trnava,F
21,Kornel Sal‡ta,SVK,D,1.91,191,89,24/01/1985,25,Kamenica nad Hronom,Slovan Bratislava,F
22,Martin Petr‡_,SVK,D,1.86,186,82,02/11/1979,30,Prievidza,Cesena,F
23,Du_an Kuciak,SVK,G,1.94,194,87,21/05/1985,25,Bratislava,FC Vaslui,F
1,Jœlio C_sar,BRA,G,1.86,186,79,03/09/1979,30,Rio de Janeiro,Internazionale,G
2,Maicon,BRA,D,1.84,184,77,26/07/1981,28,Criciœma,Internazionale,G
